id,user_id,uCode,business_name,place_name,Address,holding_number,road_name_number,postCode,super_sub_area,sub_area,area,city,district,sub_district,thana,unions,pType,subType,private_public_flag,complete_incomplete_flag,temporary_permanent_flag,longitude,latitude,bounds,location,popularity_ranking,created_at,updated_at
441764,1092,JGAR4628,"Bmb Travel Agency",NULL,"House 230, Begum Rokeya Sarani Avenue, Senpara Parbata",230,"Begum Rokeya Sarani Avenue",1216,NULL,"Senpara Parbata",Mirpur,Dhaka,Dhaka,NULL,NULL,NULL,Shop,Shop,1,NULL,1,90.36935359239578,23.805379673007717,...,...,0,"2018-08-30 15:20:37","2019-04-23 06:11:57"
441765,1092,USFT1667,"City Bank ATM Mirpur",NULL,"House 230, Begum Rokeya Sarani Avenue, Senpara Parbata",230,"Begum Rokeya Sarani Avenue",1216,NULL,"Senpara Parbata",Mirpur,Dhaka,Dhaka,NULL,NULL,NULL,Bank,ATM,1,NULL,1,90.36936432123184,23.805362494926573,...,...,0,"2018-08-30 15:21:02","2019-04-23 06:11:48"
441766,1092,XHTR1655,"Prime Bank ATM Mirpur",NULL,"House 230, Begum Rokeya Sarani Avenue, Senpara Parbata",230,"Begum Rokeya Sarani Avenue",1216,NULL,"Senpara Parbata",Mirpur,Dhaka,Dhaka,NULL,NULL,NULL,Bank,ATM,1,NULL,1,90.36937035620211,23.805350838370213,...,...,0,"2018-08-30 15:21:23","2019-04-23 06:11:52"
441767,1092,CDJS1931,"Paradise Cables",NULL,"House 230, Begum Rokeya Sarani Avenue, Senpara Parbata",230,"Begum Rokeya Sarani Avenue",1216,NULL,"Senpara Parbata",Mirpur,Dhaka,Dhaka,NULL,NULL,NULL,Shop,Hardware,1,NULL,1,90.36937706172466,23.805338568309764,...,...,0,"2018-08-30 15:21:41","2019-04-23 06:11:54"
441768,1092,IDVY0508,"Delowar Paint & Hardware",NULL,"House 230, Begum Rokeya Sarani Avenue, Senpara Parbata",230,"Begum Rokeya Sarani Avenue",1216,NULL,"Senpara Parbata",Mirpur,Dhaka,Dhaka,NULL,NULL,NULL,Shop,Hardware,1,NULL,1,90.36940891295671,23.805267401936284,...,...,0,"2018-08-30 15:22:18","2019-04-23 06:12:25"
441769,1092,OVBA7465,"At Corporations",NULL,"House 230, Begum Rokeya Sarani Avenue, Senpara Parbata",230,"Begum Rokeya Sarani Avenue",1216,NULL,"Senpara Parbata",Mirpur,Dhaka,Dhaka,NULL,NULL,NULL,Shop,Ceramics,1,NULL,1,90.36942265927792,23.805241328039696,...,...,0,"2018-08-30 15:22:46","2019-04-23 06:12:27"
441770,1092,HOTE1305,"Raju Enterprise",NULL,"House 230, Begum Rokeya Sarani Avenue, Senpara Parbata",230,"Begum Rokeya Sarani Avenue",1216,NULL,"Senpara Parbata",Mirpur,Dhaka,Dhaka,NULL,NULL,NULL,Shop,Shop,1,NULL,1,90.36943439394234,23.80521924191142,...,...,0,"2018-08-30 15:23:01","2019-04-23 06:12:30"
441772,1092,OCFA6487,"Tilles Zone",NULL,"House 230, Begum Rokeya Sarani Avenue, Senpara Parbata",230,"Begum Rokeya Sarani Avenue",1216,NULL,"Senpara Parbata",Mirpur,Dhaka,Dhaka,NULL,NULL,NULL,Shop,Tiles,1,NULL,1,90.36944948136805,23.80518549920821,...,...,0,"2018-08-30 15:24:01","2019-04-23 06:12:33"
441750,1092,LVTE4729,"Ep Money Exchange",NULL,"House 231, Begum Rokeya Sarani Avenue, Senpara Parbata",231,"Begum Rokeya Sarani Avenue",1216,NULL,"Senpara Parbata",Mirpur,Dhaka,Dhaka,NULL,NULL,NULL,Shop,"Money Exchange",1,NULL,1,90.369255691767,23.8055845828,...,...,0,"2018-08-30 15:14:53","2019-10-12 07:50:34"
441753,1092,KGNP9449,"Arman Optics",NULL,"House 231, Begum Rokeya Sarani Avenue, Senpara Parbata",231,"Begum Rokeya Sarani Avenue",1216,NULL,"Senpara Parbata",Mirpur,Dhaka,Dhaka,NULL,NULL,NULL,Shop,Eye_Wear,1,NULL,1,90.36926910281181,23.805557588714485,...,...,0,"2018-08-30 15:16:28","2019-04-23 06:10:40"
